stringID,sourceLang,targetLang,pos,description,sourceString,targetString
1,en,ro,adjective,"In the context of coronavirus (COVID-19): transmissible by direct or indirect contact with an infected person (describes the disease or the virus, not a person).",contagious,contagios
2,en,ro,noun,In the context of coronavirus (COVID-19): known cases of people who currently have the disease.,active cases,cazuri active
3,en,ro,noun,In the context of coronavirus (COVID-19): cases of people infected with the virus which have been confirmed via medical testing.,confirmed cases,cazuri confirmate
4,en,ro,proper noun,"Short for ""Centers for Disease Control and Prevention"": a US federal agency under the Department of Health and Human Services, whose main goal is to protect public health and safety through the control and prevention of disease.",CDC,Centrul pentru Prevenirea și Controlul Bolilor
5,en,ro,noun,"A formal name for the disease caused by the SARS-CoV-2 virus, responsible for the 2019/2020 global pandemic.",COVID-19,COVID-19
6,en,ro,noun,In the context of coronavirus (COVID-19): a place where people can be tested for the virus.,COVID-19 testing center,centru de testare pentru COVID-19
7,en,ro,noun,"An informal name for the SARS-CoV-2 virus (also known as ""novel coronavirus""), responsible for the 2019/2020 global pandemic of COVID-19 (the disease caused by the virus). Sometimes refers to the entire category of coronaviruses, of which SARS-CoV-2 is just one example.",coronavirus,Coronavirus
8,en,ro,noun,"In the context of coronavirus (COVID-19): a mask covering the nose, mouth and/or eyes of the wearer, intended to protect the wearer from spreading or contracting pathogens.",face mask,mască
9,en,ro,noun,"In the context of coronavirus (COVID-19): can be a person, such as a doctor, but also an organization, such as a hospital or insurance company.",healthcare provider,furnizor de servicii medicale
10,en,ro,noun,"In the context of coronavirus (COVID-19): a person who works in healthcare, such as a doctor or therapist.",healthcare professional,profesionist din domeniul medical
11,en,ro,noun,"In the context of coronavirus (COVID-19): the practice of cleaning one's hands, e.g. with water and soap, in order to get rid of the virus and other pathogens.",hand-washing,spălarea mâinilor
12,en,ro,noun,In the context of coronavirus (COVID-19): the period of time between infection and the appearance of symptoms of the disease.,incubation period,perioada de incubație
13,en,ro,noun,In the context of coronavirus (COVID-19): the practice of separating sick people from healthy people to prevent the spread of disease.,isolation,izolare
14,en,ro,noun,In the context of the coronavirus (COVID-19): the practice of restricting the movement of healthy people who may have been exposed to the virus to see if they become ill.,quarantine,carantină
15,en,ro,verb,In the context of the coronavirus (COVID-19): to restrict the movement of healthy people who may have been exposed to the virus to see if they become ill.,quarantine,a intra / a pune în carantină
16,en,ro,proper noun,"Short for ""National Institutes of Health Agency"": the primary US government agency responsible for biomedical and public health research; part of the United States Department of Health and Human Services.",NIH,NIH
17,en,ro,noun,"In the context of coronavirus (COVID-19): being within a close distance (1-2m) of another person, not necessarily having actual physical contact. Close contact is one possible way for the virus to spread from person to person.",close contact,contact apropiat
18,en,ro,noun,In the context of coronavirus (COVID-19): the process of the virus spreading from person to person.,transmission,transmitere
19,en,ro,noun,In the context of coronavirus (COVID-19): cases of people infected with the virus which have resulted in the end of the infected person's life.,deaths,decese
20,en,ro,noun,In the context of coronavirus (COVID-19): a place where people can be tested for the virus.,testing center,centru de testare
21,en,ro,verb,"In the context of the coronavirus (COVID-19): to infect new people, in a particular area or globally.",spread,răspândire
22,en,ro,verb,A header for a set of five recommendations surfaced to users looking for coronavirus tips. See: https://www.google.com/search?q=coronavirus+tips&fbx=dothefive,Do the Five,Respectați cele cinci recomandări
23,en,ro,proper noun,"A specialized agency of the United Nations that is concerned with world public health. Abbreviated as ""WHO"". See: https://en.wikipedia.org/wiki/World_Health_Organization",World Health Organization,Organizația Mondială a Sănătății
24,en,ro,proper noun,"Short for ""World Health Organization"": a specialized agency of the United Nations that is concerned with world public health. See: https://en.wikipedia.org/wiki/World_Health_Organization",WHO,OMS
25,en,ro,,,14 days in isolation,14 zile în izolare
26,en,ro,,,14 days quarantine,carantină 14 zile
27,en,ro,,,2019 coronavirus,coronavirus 2019
28,en,ro,,,2019 novel coronavirus,coronavirus nou 2019
29,en,ro,,,2019-nCoV,2019-nCoV
30,en,ro,,,2020 coronavirus,coronavirus 2020
31,en,ro,,,2020 novel coronavirus,coronavirus nou 2020
33,en,ro,,,about coronavirus,despre coronavirus
39,en,ro,,,acute respiratory distress syndrome,sindromul de insuficiență respiratorie acută
40,en,ro,,,advanced hand sanitizer,dezinfectant mâini performant
41,en,ro,,,Affected by coronavirus,Afectat de coronavirus
42,en,ro,,,after exposure,după expunere
43,en,ro,,,After the epidemic,După epidemie
44,en,ro,,,After the outbreak,După izbucnirea epidemiei
47,en,ro,,,airborne virus,virus transmis prin aer
48,en,ro,,,alcohol based hand sanitizer,dezinfectant pentru mâini pe bază de alcool
49,en,ro,,,alcohol hand sanitizer,dezinfectant cu alcool pentru mâini
51,en,ro,,,alcohol-based hand sanitizer,dezinfectant pentru mâini pe bază de alcool
59,en,ro,,,Anti-Corona virus spray,Spray anti-coronavirus
60,en,ro,,,antibacterial hand sanitizer,dezinfectant pentru mâini antibacterian
61,en,ro,,,ARDS,SDRA
64,en,ro,,,avoid exposure,evitați expunerea
65,en,ro,,,be infected,a fi infectat
75,en,ro,,,Beware of coronavirus,Feriți-vă de virus
76,en,ro,,,bilateral interstitial pneumonia,pneumonie bilaterală interstițială
77,en,ro,,,CDC,CDC
78,en,ro,,,Center for Disease Control,Centrul pentru Prevenirea și Controlul Bolilor
83,en,ro,,,community spread,răspândire în comunitate
84,en,ro,,,compulsory quarantine,carantină impusă
85,en,ro,,,contagious,contagios
135,en,ro,,,coronavirus,coronavirus
136,en,ro,,,coronavirus (COVID-19),coronavirus (COVID-19)
137,en,ro,,,coronavirus alert,coronavirus alertă
139,en,ro,,,coronavirus cases,cazuri de coronavirus
141,en,ro,,,coronavirus concerns,coronavirus preocupări
143,en,ro,,,coronavirus crisis,coronavirus criză
149,en,ro,,,coronavirus disease,coronavirus boală
150,en,ro,,,Coronavirus disease (COVID-19) outbreak,Izbucnirea bolii de Coronavirus (COVID-19)
153,en,ro,,,coronavirus early symptoms,coronavirus prime simptome
155,en,ro,,,coronavirus epidemic,coronavirus epidemie
156,en,ro,,,coronavirus exposure,coronavirus expunere
161,en,ro,,,coronavirus incubation,coronavirus incubație
162,en,ro,,,coronavirus incubation period,coronavirus perioadă incubație
163,en,ro,,,coronavirus infection,coronavirus infecție
168,en,ro,,,coronavirus map,hartă coronavirus
170,en,ro,,,coronavirus medicine,medicament coronavirus
171,en,ro,,,coronavirus medicines,medicamente coronavirus
172,en,ro,,,coronavirus news,știri coronavirus
173,en,ro,,,coronavirus outbreak,coronavirus epidemie
174,en,ro,,,coronavirus pandemic,pandemie de coronavirus
176,en,ro,,,coronavirus pneumonia,pneumonie coronavirus
177,en,ro,,,coronavirus precautions,coronavirus precauții
178,en,ro,,,coronavirus prevention,coronavirus prevenție
179,en,ro,,,coronavirus protection,coronavirus protecție
180,en,ro,,,coronavirus quarantine,coronavirus carantină
182,en,ro,,,coronavirus SOS Alert,coronavirus Alertă SOS
183,en,ro,,,coronavirus spread,coronavirus răspândire
184,en,ro,,,coronavirus symptoms,coronavirus simptome
185,en,ro,,,coronavirus transmission,transmitere coronavirus
186,en,ro,,,coronavirus travel ban,coronavirus interdicție de călătorie
187,en,ro,,,coronavirus travel restrictions,coronavirus restricții de călătorie
188,en,ro,,,coronavirus treatment,tratament coronavirus
190,en,ro,,,coronavirus update,noutăți coronavirus
191,en,ro,,,coronavirus vaccine,vaccin coronavirus
192,en,ro,,,coronavirus vaccines,vaccinuri coronavirus
198,en,ro,,,covid cases,covid cazuri
205,en,ro,,,covid early symptoms,covid primele simptome
213,en,ro,,,covid incubation period,covid perioadă de incubație
215,en,ro,,,covid international spread,covid răspândire internațională
216,en,ro,,,covid international travel,covid călătorie internațională
217,en,ro,,,covid isolation,covid izolare
219,en,ro,,,covid map,hartă covid
220,en,ro,,,covid medicine,medicament covid
221,en,ro,,,covid medicines,medicamente covid
222,en,ro,,,covid news,știri covid
223,en,ro,,,covid outbreak,covid epidemie
224,en,ro,,,covid pandemic,covid pandemie
225,en,ro,,,covid panic,covid panică
228,en,ro,,,covid SOS Alert,covid Alertă SOS
230,en,ro,,,covid symptoms,covid simptome
231,en,ro,,,covid transmission,transmitere covid
232,en,ro,,,covid travel ban,covid interdicție de călătorie
233,en,ro,,,covid travel restrictions,covid restricții de călătorie
234,en,ro,,,covid treatment,tratament covid
236,en,ro,,,covid vaccine,vaccin covid
237,en,ro,,,covid vaccines,vaccinuri covid
242,en,ro,,,covid-19,covid-19
243,en,ro,,,covid-19 alert,covid-19 alertă
244,en,ro,,,covid-19 cases,covid-19 cazuri
245,en,ro,,,covid-19 CDC,covid-19 CDC
246,en,ro,,,covid-19 contagious,covid-19 contagios
247,en,ro,,,covid-19 cure,covid-19 remediu
248,en,ro,,,covid-19 dangerous,covid-19 periculos
249,en,ro,,,covid-19 deadly,covid-19 letal
250,en,ro,,,covid-19 death,covid-19 moarte
251,en,ro,,,covid-19 deaths,covid-19 decese
252,en,ro,,,covid-19 domestic travel,covid-19 călătorie locală
253,en,ro,,,covid-19 early symptoms,covid-19 primele simptome
254,en,ro,,,covid-19 effects,covid-19 efecte
255,en,ro,,,covid-19 epidemic,covid-19 epidemie
256,en,ro,,,covid-19 exposure,covid-19 expunere
257,en,ro,,,covid-19 fatal,covid-19 mortal
258,en,ro,,,covid-19 fever,covid-19 febră
259,en,ro,,,covid-19 illness,covid-19 boală
260,en,ro,,,covid-19 incubation,covid-19 incubație
261,en,ro,,,covid-19 incubation period,covid-19 perioadă de incubație
262,en,ro,,,covid-19 infection,covid-19 infecție
263,en,ro,,,covid-19 international spread,covid-19 răspândire internațională
264,en,ro,,,covid-19 international travel,covid-19 călătorie internațională
265,en,ro,,,covid-19 isolation,covid-19 izolare
266,en,ro,,,covid-19 lockdown,covid-19 carantină
267,en,ro,,,covid-19 map,hartă covid-19
268,en,ro,,,covid-19 medicine,medicament covid-19
269,en,ro,,,covid-19 medicines,medicamente covid-19
270,en,ro,,,covid-19 news,știri covid-19
271,en,ro,,,covid-19 outbreak,covid-19 epidemie
272,en,ro,,,covid-19 pandemic,covid-19 pandemie
273,en,ro,,,covid-19 panic,covid-19 panică
275,en,ro,,,covid-19 precautions,covid-19 precauții
276,en,ro,,,covid-19 protection,covid-19 protecție
277,en,ro,,,covid-19 quarantine,covid-19 carantină
278,en,ro,,,covid-19 SOS Alert,covid-19 Alertă SOS
279,en,ro,,,covid-19 spread,covid-19 răspândire
280,en,ro,,,covid-19 symptoms,covid-19 simptome
281,en,ro,,,covid-19 transmission,transmitere covid-19
282,en,ro,,,covid-19 travel ban,covid-19 interdicție de călătorie
283,en,ro,,,covid-19 travel restrictions,covid-19 restricții de călătorie
284,en,ro,,,covid-19 treatment,tratament covid-19
285,en,ro,,,covid-19 uncontrolled spread,covid-19 răspândire necontrolată
286,en,ro,,,covid-19 vaccine,vaccin covid-19
287,en,ro,,,covid-19 vaccines,vaccinuri covid-19
288,en,ro,,,COVID-19 virus,covid-19 virus
289,en,ro,,,covid-19 virus outbreak,epidemie de virus covid-19
