stringID,sourceLang,targetLang,pos,description,sourceString,targetString
1,en,ur,adjective,"In the context of coronavirus (COVID-19): transmissible by direct or indirect contact with an infected person (describes the disease or the virus, not a person).",contagious,متعدی
2,en,ur,noun,In the context of coronavirus (COVID-19): known cases of people who currently have the disease.,active cases,فعال کیسز
3,en,ur,noun,In the context of coronavirus (COVID-19): cases of people infected with the virus which have been confirmed via medical testing.,confirmed cases,مصدقہ کیسز
4,en,ur,proper noun,"Short for ""Centers for Disease Control and Prevention"": a US federal agency under the Department of Health and Human Services, whose main goal is to protect public health and safety through the control and prevention of disease.",CDC,CDC
5,en,ur,noun,"A formal name for the disease caused by the SARS-CoV-2 virus, responsible for the 2019/2020 global pandemic.",COVID-19,COVID-19
6,en,ur,noun,In the context of coronavirus (COVID-19): a place where people can be tested for the virus.,COVID-19 testing center,COVID-19 کی جانچ کا مرکز
7,en,ur,noun,"An informal name for the SARS-CoV-2 virus (also known as ""novel coronavirus""), responsible for the 2019/2020 global pandemic of COVID-19 (the disease caused by the virus). Sometimes refers to the entire category of coronaviruses, of which SARS-CoV-2 is just one example.",coronavirus,کورونا وائرس
8,en,ur,noun,"In the context of coronavirus (COVID-19): a mask covering the nose, mouth and/or eyes of the wearer, intended to protect the wearer from spreading or contracting pathogens.",face mask,چہرے کا ماسک
9,en,ur,noun,"In the context of coronavirus (COVID-19): can be a person, such as a doctor, but also an organization, such as a hospital or insurance company.",healthcare provider,ہیلتھ کئیر فراہم کنندہ
10,en,ur,noun,"In the context of coronavirus (COVID-19): a person who works in healthcare, such as a doctor or therapist.",healthcare professional,ہیلتھ کئیر پروفیشنل
11,en,ur,noun,"In the context of coronavirus (COVID-19): the practice of cleaning one's hands, e.g. with water and soap, in order to get rid of the virus and other pathogens.",hand-washing,ہاتھ دھونا
12,en,ur,noun,In the context of coronavirus (COVID-19): the period of time between infection and the appearance of symptoms of the disease.,incubation period,مرض کی علامات کے ظہور کی مدت
13,en,ur,noun,In the context of coronavirus (COVID-19): the practice of separating sick people from healthy people to prevent the spread of disease.,isolation,علیحدگی
14,en,ur,noun,In the context of the coronavirus (COVID-19): the practice of restricting the movement of healthy people who may have been exposed to the virus to see if they become ill.,quarantine,طبی قیدِ تنہائی
15,en,ur,verb,In the context of the coronavirus (COVID-19): to restrict the movement of healthy people who may have been exposed to the virus to see if they become ill.,quarantine,طبی قیدِ تنہائی میں رکھنا
16,en,ur,proper noun,"Short for ""National Institutes of Health Agency"": the primary US government agency responsible for biomedical and public health research; part of the United States Department of Health and Human Services.",NIH,NIH
17,en,ur,noun,"In the context of coronavirus (COVID-19): being within a close distance (1-2m) of another person, not necessarily having actual physical contact. Close contact is one possible way for the virus to spread from person to person.",close contact,قریبی رابطہ
18,en,ur,noun,In the context of coronavirus (COVID-19): the process of the virus spreading from person to person.,transmission,منتقلی
19,en,ur,noun,In the context of coronavirus (COVID-19): cases of people infected with the virus which have resulted in the end of the infected person's life.,deaths,اموات
20,en,ur,noun,In the context of coronavirus (COVID-19): a place where people can be tested for the virus.,testing center,جانچ کا مرکز
21,en,ur,verb,"In the context of the coronavirus (COVID-19): to infect new people, in a particular area or globally.",spread,پھیلانا
22,en,ur,verb,A header for a set of five recommendations surfaced to users looking for coronavirus tips. See: https://www.google.com/search?q=coronavirus+tips&fbx=dothefive,Do the Five,پانچ تجاویز
23,en,ur,proper noun,"A specialized agency of the United Nations that is concerned with world public health. Abbreviated as ""WHO"". See: https://en.wikipedia.org/wiki/World_Health_Organization",World Health Organization,ورلڈ ہیلتھ آرگنائزیشن
24,en,ur,proper noun,"Short for ""World Health Organization"": a specialized agency of the United Nations that is concerned with world public health. See: https://en.wikipedia.org/wiki/World_Health_Organization",WHO,WHO
25,en,ur,,,14 days in isolation,14 دن تنہائی میں
26,en,ur,,,14 days quarantine,14 دن کا قرنطینہ
27,en,ur,,,2019 coronavirus,2019 کورونا وائرس
28,en,ur,,,2019 novel coronavirus,2019 ناول کورونا وائرس
29,en,ur,,,2019-nCoV,2019-nCoV
30,en,ur,,,2020 coronavirus,2020 کورونا وائرس
31,en,ur,,,2020 novel coronavirus,2020 ناول کورونا وائرس
33,en,ur,,,about coronavirus,کورونا وائرس کے متعلق
39,en,ur,,,acute respiratory distress syndrome,اکیوٹ ریسپیریٹری ڈسٹریس سنڈروم
40,en,ur,,,advanced hand sanitizer,ایڈوانسڈ ہینڈ سینیٹائزر
41,en,ur,,,Affected by coronavirus,کورونا وائرس سے متاثر
42,en,ur,,,after exposure,ایکسپوژر کے بعد
43,en,ur,,,After the epidemic,وباء کے بعد
44,en,ur,,,After the outbreak,پھیلنے کے بعد
47,en,ur,,,airborne virus,ہوا سے پھیلنے والا وائرس
48,en,ur,,,alcohol based hand sanitizer,الکوحل والا ہینڈ سینیٹائزر
49,en,ur,,,alcohol hand sanitizer,الکوحل والا ہینڈ سینیٹائزر
51,en,ur,,,alcohol-based hand sanitizer,الکوحل والا ہینڈ سینیٹائزر
59,en,ur,,,Anti-Corona virus spray,کورونا وائرس کے خلاف سپرے
60,en,ur,,,antibacterial hand sanitizer,بیکٹیریا کو مارنے والا ہینڈ سینیٹائزر
61,en,ur,,,ARDS,ARDS
64,en,ur,,,avoid exposure,ایکسپوژر سے بچنا
65,en,ur,,,be infected,انفیکش کا شکار ہونا
75,en,ur,,,Beware of coronavirus,کورونا وائرس سے خبردار رہیں
76,en,ur,,,bilateral interstitial pneumonia,بائی لیٹرل انٹرسٹیشل نیمونائٹس
77,en,ur,,,CDC,CDC
78,en,ur,,,Center for Disease Control,سنٹر فار ڈزیز کنٹرول
83,en,ur,,,community spread,لوگوں کے اندر پھیلنا
84,en,ur,,,compulsory quarantine,جبری قرنطینہ
85,en,ur,,,contagious,متعدی
135,en,ur,,,coronavirus,کورونا وائرس
136,en,ur,,,coronavirus (COVID-19),کورونا وائرس (COVID-19)
137,en,ur,,,coronavirus alert,کورونا وائرس الرٹ
139,en,ur,,,coronavirus cases,کورونا وائرس کے کیسز
141,en,ur,,,coronavirus concerns,کورونا وائرس سوالات
143,en,ur,,,coronavirus crisis,کورونا وائرس بحران
149,en,ur,,,coronavirus disease,کورونا وائرس بیماری
150,en,ur,,,Coronavirus disease (COVID-19) outbreak,کورونا وائرس کی بیماری (COVID-19) کا پھیلاؤ
153,en,ur,,,coronavirus early symptoms,کورونا وائرس شروع کی علامات
155,en,ur,,,coronavirus epidemic,کورونا وائرس وباء
