stringID,sourceLang,targetLang,pos,description,sourceString,targetString
xx_1101,tr,en,,,Koronavirüsün Küresel Haritası,Coronavirus World Map
xx_1102,tr,en,,,COVID-19 ve Uzaktan Eğitim,COVID-19 and Distance Learning
xx_1103,tr,en,,,Yeni Koronavirüs Hakkında Güncel Gelişmeler,Recent Developments on the New Coronavirus
xx_1104,tr,en,,,Koronavirüs Seferberliği,Coronavirus Campaign
xx_1105,tr,en,,,Ortadoğu Solunum Yetmezliği Sendromu Koronavirüsü,The Coronavirus Middle Eastern Respiratory Failure Syndrome
xx_1106,tr,en,,,Solunum Yetmezliği,Respiratory Failure
xx_1107,tr,en,,,Sendrom,Syndrome
xx_1108,tr,en,,,Koronavirüs Önlemleri,Coronavirus Provisions
xx_1109,tr,en,,,SARS COV-2,SARS COV-2
xx_1110,tr,en,,,Pandemi,Pandemic
xx_1111,tr,en,,,Kısa Çalışma Ödeneği,Short Term Working Grant
xx_1112,tr,en,,,Termal Kamera,Thermal Camera
xx_1113,tr,en,,,Bilim kurulu,Science board
xx_1114,tr,en,,,Koronavirüs tedbirleri,Coronavirus measures
xx_1115,tr,en,,,Fahrettin Koca,Fahrettin Koca
xx_1116,tr,en,,,Sosyal İzolasyon,Social Isolation
xx_1117,tr,en,,,Sosyal mesafe,Social Distance
xx_1118,tr,en,,,Koronavirüs tablosu,Coronavirus Chart
xx_1119,tr,en,,,Test sayısı,Number of tests
xx_1120,tr,en,,,Vaka sayısı,Number of cases
xx_1121,tr,en,,,Koronavirüs affı,Coronavirus
xx_1122,tr,en,,,Koronavirüsle mücadele,The fight against Coronavirus
xx_1123,tr,en,,,Koronavirüs ekonomik tedbir paketi,Coronavirus package of economic measures
xx_1124,tr,en,,,Sağlık Bakanı,Minister of Health
xx_1125,tr,en,,,Koronavirüs karantinası,Coronavirus Quarantine
xx_1126,tr,en,,,Bizbize yeteriz Türkiyem,Together we are enough my Turkey
xx_1127,tr,en,,,Koronavirüs son dakika haberleri,Latest Coronavirus news
xx_1128,tr,en,,,Koronavirüs denetimleri,Coronavirus tests
xx_1129,tr,en,,,Koronavirüs aşısı,Coronavirus Vaccine
xx_1130,tr,en,,,Aşı,Vaccine
xx_1131,tr,en,,,Seyahat Kısıtlaması,Travel Restrictions
xx_1132,tr,en,,,Kısıtlama,Restriction
xx_1133,tr,en,,,COVID-19 Nedeniyle Uçuş İptali,Flight Cancellation because of COVID-19
xx_1134,tr,en,,,Uçuş İptali,Flight Cancellation
xx_1135,tr,en,,,Uçuş,Flight
xx_1136,tr,en,,,Uçuş Yasağı,Flight Ban
xx_1137,tr,en,,,Seyahat İzin Belgesi,Travel Permit
xx_1138,tr,en,,,Koronavirus nedeniyle rezervasyon iadesi,Reservation Refund because of Coronavirus
xx_1139,tr,en,,,Reervasyon iadesi,Reservation refund
xx_1140,tr,en,,,Dezenefekte,Disinfected
xx_1141,tr,en,,,EBA,EBA
xx_1142,tr,en,,,Uzaktan Eğitim,Distance Learning
xx_1143,tr,en,,,30 Nisan,30. April
xx_1144,tr,en,,,Ziya Selçuk,Ziya Selcuk
xx_1145,tr,en,,,KORONAVİRÜS HAKKINDA ALINAN ÖNLEMLER,PROVISIONS FOR THE CORONAVIRUS
xx_1146,tr,en,,,Koronavirüs Tatili,Coronavirus Holiday
xx_1147,tr,en,,,Koronavirüs Komisyonu,Coronavirus Comission
xx_1148,tr,en,,,Eğitim ve Öğretime Ara Verilmesi,Education and Teaching Break
xx_1149,tr,en,,,Koronavirüsten Korunma Yolları,Ways to Protect against Coronavirus
xx_1150,tr,en,,,Koronavirüs Broşürü,Coronavirus Leaflet
