stringID,sourceLang,targetLang,pos,description,sourceString,targetString
xx_401,hi,en,,,भारत में कोरोना वायरस,Coronavirus in India
xx_402,hi,en,,,कोरोना वायरस मास्क,Coronavirus Mask
xx_403,hi,en,,,कोविड-19,COVID-19
xx_404,hi,en,,,सोशल डिस्टेंसिंग,Social Distancing
xx_405,hi,en,,,फिज़िकल डिस्टेंसिंग,Physical Distancing
xx_406,hi,en,,,लॉकडाउन क्या है,It has been lockdown
xx_407,hi,en,,,कोरोनावायरस के लक्षण,Symptoms of Coronavirus
xx_408,hi,en,,,संक्रमण से कैसे बचें,How can you survive the infection
xx_409,hi,en,,,कोरोना वायरस सीबीएसई,Coronavirus CBSE
xx_410,hi,en,,,कोरोना वायरस हेल्पलाइन,Coronavirus Helpline
xx_411,hi,en,,,कोरोना वायरस की जांच,Coronavirus Research
xx_412,hi,en,,,ट्रेन बुकिंग निलंबित,Train Booking Suspended
xx_413,hi,en,,,फ्लाइट रद्द,Flights Cancelled
xx_414,hi,en,,,रेलवे स्टेशन कोरोना वायरस,Railway Station Coronavirus
xx_415,hi,en,,,वीजा एडवाइजरी,Visa Advisory
xx_416,hi,en,,,स्टेशन पर स्क्रीनिंग,Screening At the Station
xx_417,hi,en,,,कोरोना वायरस रिसर्च,Coronavirus Research
xx_418,hi,en,,,कोरोना वायरस की दवा,Medicine for Coronavirus
xx_419,hi,en,,,कोरोना वायरस वैक्सीन,Coronavirus Vaccine
xx_420,hi,en,,,संक्रमण नहीं फैला,Infection has not spread
xx_421,hi,en,,,कोरोना वायरस ताज़ा खबर,Latest News about Coronavirus
xx_422,hi,en,,,भारत में लॉकडाउन,Lockdown in India
xx_423,hi,en,,,जनता कर्फ्यू,Public Curfew
xx_424,hi,en,,,आईसीएमआर क्या है,What is ICMR
xx_425,hi,en,,,कोरोना वायरस प्रतिरक्षा बूस्टर,Coronavirus Immunity Booster
xx_426,hi,en,,,कोरोना सरकारी निर्देश,Corona Government Instructions
xx_427,hi,en,,,कोरोना वायरस क्या है,What is Coronavirus
xx_428,hi,en,,,कोरोना वायरस सरकारी योजनाएं,Coronavirus Government Provisions
xx_429,hi,en,,,कोरोना तबलीगी जमात,Corona Tablighi Jamaat
xx_430,hi,en,,,कोरोना एपिसेंटर,Corona Inspector
xx_431,hi,en,,,ताली-थाली,Clap-Plate
xx_432,hi,en,,,महामारी का इलाज,Cure for the Pandemic
xx_433,hi,en,,,कोरोना स्वास्थ्य कर्मियों पर हमला,Corona Attack on Health Workers
xx_434,hi,en,,,आइसोलेशन क्या है,What is Isolation
xx_435,hi,en,,,कोरोना का बाजार पर असर,Effect of Corona on Market
xx_436,hi,en,,,कोरोना से मजदूरों का पलायन,Labourers flee due to Corona
xx_437,hi,en,,,क्वारंटाइन क्या है,What is Qurantine
xx_438,hi,en,,,कोरोना वायरस मिथक,Myths about Coronavirus
xx_439,hi,en,,,कोरोना सैनिटाइजर,Corona Sanitizer
xx_440,hi,en,,,कोरोना जैविक हथियार,Corona Biological Weapon
xx_441,hi,en,,,कोरोना कैसे फैलता है,How does Corona spread
xx_442,hi,en,,,कोरोना विटामिन सी,Corona Vitamin C
xx_443,hi,en,,,कोरोना वायरस जानवरों में,Coronavirus in Animals
xx_444,hi,en,,,कोरोना वायरस की भ्रांतियां,Misconceptions about Coronavirus
xx_445,hi,en,,,करोना के सक्रिय मामले,Corona Active Issues
xx_446,hi,en,,,कोरोना के ठीक हुए मरीज,Patients who have recovered from Coronavirus
xx_447,hi,en,,,करोना वायरस के मामले,Coronavirus Issues
xx_448,hi,en,,,पैंडेमिक क्या है,What is Pandamic
xx_449,hi,en,,,कोरोना वायरस का नक्शा,Map of Coronavirus
xx_450,hi,en,,,कोरोना वायरस की मृत्यु दर,Death due to Coronavirus
