stringID,sourceLang,targetLang,pos,description,sourceString,targetString
xx_751,nl,en,,,coronavirus,coronavirus
xx_752,nl,en,,,coronavirus infectie,coronavirus infection
xx_753,nl,en,,,coronavirus vaccin,coronavirus vaccine
xx_754,nl,en,,,coronavirus vaccinatie,coronavirus vaccination
xx_755,nl,en,,,coronavirus epidemie,coronavirus epidemic
xx_756,nl,en,,,corona-uitbraak,corona outbreak
xx_757,nl,en,,,mondmasker,mouth mask
xx_758,nl,en,,,overdracht van coronavirus,transfer of coronavirus
xx_759,nl,en,,,incubatietijd coronavirus,coronavirus incubation period
xx_760,nl,en,,,behandeling coronavirus,coronavirus treatment
xx_761,nl,en,,,pandemie coronavirus,coronavirus pandemic
xx_762,nl,en,,,sociaal isolement,social isolation
xx_763,nl,en,,,preventief laten testen op coronavirus,preventive testing for coronavirus
xx_764,nl,en,,,coronavirus symptomen,coronavirus symptoms
xx_765,nl,en,,,diagnose covid-19,covid-19 diagnosis
xx_766,nl,en,,,coronavirus gevaarlijk voor honden,coronavirus dangerous for dogs
xx_767,nl,en,,,zelftest voor coronavirus,self-test for coronavirus
xx_768,nl,en,,,COVID-19,COVID-19
xx_769,nl,en,,,coronamaatregelen,corona measures
xx_770,nl,en,,,besmetting coronavirus,coronavirus contamination
xx_771,nl,en,,,quarantaine,quarantine
xx_772,nl,en,,,verspreiding van het coronavirus,spread of the coronavirus
xx_773,nl,en,,,groepsimmuniteit,group immunity
xx_774,nl,en,,,coronavirus griep,coronavirus flu
xx_775,nl,en,,,coronavirus kwetsbare gezondheid,coronavirus delicate health
xx_776,nl,en,,,genezen van coronavirus,recovered from the coronavirus
xx_777,nl,en,,,verloop coronavirus,course of coronavirus
xx_778,nl,en,,,coronavirus paracetamol,coronavirus paracetamol
xx_779,nl,en,,,aantal coronagevallen,number of corona cases
xx_780,nl,en,,,sterfgevallen door coronavirus,deaths from coronavirus
xx_781,nl,en,,,coronapatiënten,corona patients
xx_782,nl,en,,,"1,5 meter afstand",1.5-metre distance
xx_783,nl,en,,,geïnfecteerde persoon,infected person
xx_784,nl,en,,,voorzorgsmaatregelen,precautionary measures
xx_785,nl,en,,,reisadvies,travel advice
xx_786,nl,en,,,vakantie annuleren,cancel holiday
xx_787,nl,en,,,griepverschijnselen,flu symptoms
xx_788,nl,en,,,kwetsbare personen,vulnerable people
xx_789,nl,en,,,verschil griep en corona,difference between flu and corona
xx_790,nl,en,,,aangescherpte bezoekregeling,tighter visiting regulations
xx_791,nl,en,,,positief getest op het coronavirus,tested positive for the coronoavirus
xx_792,nl,en,,,contactverbod,contact ban
xx_793,nl,en,,,triage aan de deur,triage at the door
xx_794,nl,en,,,coronabesmettingen,corona contamination
xx_795,nl,en,,,coronavirus verwant aan SARS-epidemie,coronavirus related to SARS epidemic
xx_796,nl,en,,,Wereldgezondheidsorganisatie,World Health Organisation
xx_797,nl,en,,,sterftecijfer van het coronavirus,deaths from the coronavirus
xx_798,nl,en,,,onderliggende gezondheidsproblemen,underlying health problems
xx_799,nl,en,,,coronavirus gevaarlijk voor zwangere vrouwen,coronavirus dangerous for pregnant women
xx_800,nl,en,,,risico coronavirus voor pasgeboren baby's,risk coronavirus for newborn babies
