stringID,sourceLang,targetLang,pos,description,sourceString,targetString
25,en,ht,,,14 days in isolation,14 jou ann izolman
26,en,ht,,,14 days quarantine,14 jou an karantèn
27,en,ht,,,2019 coronavirus,kowonaviris 2019
28,en,ht,,,2019 novel coronavirus,nouvo kowonaviris 2019
29,en,ht,,,2019-nCoV,2019-nCoV
30,en,ht,,,2020 coronavirus,kowonaviris 2020
31,en,ht,,,2020 novel coronavirus,nouvo kowonaviris 2020
33,en,ht,,,about coronavirus,sou kowonaviris
39,en,ht,,,acute respiratory distress syndrome,pwoblèm respiratwa ki grav anpil
40,en,ht,,,advanced hand sanitizer,likid ki gen alkòl pou lave men
41,en,ht,,,Affected by coronavirus,ki enfekte ak kowonaviris
42,en,ht,,,after exposure,apre kontak ak viris la
43,en,ht,,,After the epidemic,Apre epidemi an
44,en,ht,,,After the outbreak,Apre epidemi an ki gaye
47,en,ht,,,airborne virus,viris moun pran nan lè
48,en,ht,,,alcohol based hand sanitizer,sanitayzè a baz alkòl
49,en,ht,,,alcohol hand sanitizer,likid ki gen alkòl pou lave men
51,en,ht,,,alcohol-based hand sanitizer,likid ki fèt ak alkòl pou lave men
59,en,ht,,,Anti-Corona virus spray,sprey ki elimine viris kowona
60,en,ht,,,antibacterial hand sanitizer,sanitayzè ki elimine bakteri
61,en,ht,,,ARDS,SDRA
64,en,ht,,,avoid exposure,evite kontak ak
65,en,ht,,,be infected,enfekte
75,en,ht,,,Beware of coronavirus,Veye pou w pa pran kowonaviris
76,en,ht,,,bilateral interstitial pneumonia,nemoni entèstisyèl bilateral
77,en,ht,,,CDC,CDC
78,en,ht,,,Center for Disease Control,Sant kontwòl maladi
83,en,ht,,,community spread,gaye (verb) nan kominote a
84,en,ht,,,compulsory quarantine,karantèn obligatwa
85,en,ht,,,contagious,trapan
135,en,ht,,,coronavirus,kowonaviris
136,en,ht,,,coronavirus (COVID-19),kowonaviris (COVID-19)
137,en,ht,,,coronavirus alert,alèt kont kowonaviris
139,en,ht,,,coronavirus cases,plizyè ka kowonaviris
