stringID,sourceLang,targetLang,pos,description,sourceString,targetString
xx_1201,zh-Hant,en,,,病毒受體,virus receptor
xx_1202,zh-Hant,en,,,酒精,alcohol
xx_1203,zh-Hant,en,,,免疫系統,immune system
xx_1204,zh-Hant,en,,,發炎,fever
xx_1205,zh-Hant,en,,,突變,mutation
xx_1206,zh-Hant,en,,,洗手,handwashing
xx_1207,zh-Hant,en,,,抗體,antibody
xx_1208,zh-Hant,en,,,篩檢,screening
xx_1209,zh-Hant,en,,,篩檢工具,screening tool
xx_1210,zh-Hant,en,,,快篩,rapid screening
xx_1211,zh-Hant,en,,,手部衛生,hand hygiene
xx_1212,zh-Hant,en,,,疑似症狀,suspect symptoms
xx_1213,zh-Hant,en,,,群聚,crowd gathering
xx_1214,zh-Hant,en,,,防疫,epidemic prevention
xx_1215,zh-Hant,en,,,消毒,disinfect
xx_1216,zh-Hant,en,,,防疫物資,virus prevention materials
xx_1217,zh-Hant,en,,,手套,gloves
xx_1218,zh-Hant,en,,,拱手不握手,don't shake hands; make a fist-in-palm salute instead
xx_1219,zh-Hant,en,,,居家檢疫,home quarantine
xx_1220,zh-Hant,en,,,交叉感染,cross infection
xx_1221,zh-Hant,en,,,境外移入,imported
xx_1222,zh-Hant,en,,,排毒期,detoxification period
xx_1223,zh-Hant,en,,,季節性傳播,seasonal transmission
xx_1224,zh-Hant,en,,,免疫,immunity
xx_1225,zh-Hant,en,,,病毒擴散,viral spread
xx_1226,zh-Hant,en,,,呼吸衰竭,respiratory failure
xx_1227,zh-Hant,en,,,雙重感染,dual infection
xx_1229,zh-Hant,en,,,肺炎患者,pneumonia patient
xx_1230,zh-Hant,en,,,社交距離,social distancing
xx_1231,zh-Hant,en,,,無症狀感染,asymptomatic infection
xx_1232,zh-Hant,en,,,洗手液,handwashing fluid
xx_1233,zh-Hant,en,,,隔離檢疫,quarantine
xx_1234,zh-Hant,en,,,疫情影響,impact of the epidemic
xx_1235,zh-Hant,en,,,三級警示,level three warning
xx_1236,zh-Hant,en,,,旅遊史,travel history
xx_1237,zh-Hant,en,,,禁飛,no-fly
xx_1238,zh-Hant,en,,,量體溫,take body temperature
xx_1239,zh-Hant,en,,,醫護人員,medical personnel
xx_1240,zh-Hant,en,,,酒精消毒,alcohol disinfection
xx_1241,zh-Hant,en,,,發燒,fever
xx_1242,zh-Hant,en,,,抗病毒藥物,anti-viral drug
xx_1243,zh-Hant,en,,,呼吸道,respiratory tract
xx_1244,zh-Hant,en,,,遠距教學,distance teaching
xx_1245,zh-Hant,en,,,防疫公假,epidemic prevention leave
xx_1246,zh-Hant,en,,,清潔消毒,clean and disinfect
xx_1247,zh-Hant,en,,,咳嗽,cough
xx_1248,zh-Hant,en,,,呼吸道症狀,respiratory tract symptoms
xx_1249,zh-Hant,en,,,數位課程,digital course
xx_1250,zh-Hant,en,,,預防感染,prevent an infection
