stringID,sourceLang,targetLang,pos,description,sourceString,targetString
25,en,tg,,,14 days in isolation,14 рузи изолятсия
26,en,tg,,,14 days quarantine,14 рузи карантин
27,en,tg,,,2019 coronavirus,2019 коронавирус
28,en,tg,,,2019 novel coronavirus,2019 қиссаи коронавирус
29,en,tg,,,2019-nCoV,2019-nCoV
30,en,tg,,,2020 coronavirus,2020 коронавирус
31,en,tg,,,2020 novel coronavirus,2020 қиссаи коронавирус
33,en,tg,,,about coronavirus,дар бораи коронавирус
39,en,tg,,,acute respiratory distress syndrome,синдроми шадиди распиратори нафас
40,en,tg,,,advanced hand sanitizer,санитарияи перафтаи дасти
41,en,tg,,,Affected by coronavirus,Таъсир расида ба воситаи коронавирус
42,en,tg,,,after exposure,"бад аз паҳн шудан, баъд аз таркиш"
43,en,tg,,,After the epidemic,Баъд аз эпидемия
44,en,tg,,,After the outbreak,Баъд аз хуруҷ
47,en,tg,,,airborne virus,вируси ҳавои
48,en,tg,,,alcohol based hand sanitizer,санатайзери дасти дар асоси спирт
49,en,tg,,,alcohol hand sanitizer,сантарияй спирти барой даст
51,en,tg,,,alcohol-based hand sanitizer,санитари дар асоси спирт
59,en,tg,,,Anti-Corona virus spray,спрей зидди-корона вирус
60,en,tg,,,antibacterial hand sanitizer,доруи зидди бактерияи дасти
61,en,tg,,,ARDS,ARDS
64,en,tg,,,avoid exposure,пешгири кардани пахншави
65,en,tg,,,be infected,сироят шудан
75,en,tg,,,Beware of coronavirus,аз коронавирус ҳазар доштан
76,en,tg,,,bilateral interstitial pneumonia,пневанияи интерстеқиалии дутарафа
77,en,tg,,,CDC,CDC
78,en,tg,,,Center for Disease Control,Маркази Назорати Бемори
83,en,tg,,,community spread,дар байни мардум паҳн шудан
84,en,tg,,,compulsory quarantine,карантини ҳатми
85,en,tg,,,contagious,гузаранда
135,en,tg,,,coronavirus,коронависрус
136,en,tg,,,coronavirus (COVID-19),коронавирус ( КОВИД-19)
137,en,tg,,,coronavirus alert,коронавирус ҳушдор
