stringID,sourceLang,targetLang,pos,description,sourceString,targetString
1,en,bn,adjective,"In the context of coronavirus (COVID-19): transmissible by direct or indirect contact with an infected person (describes the disease or the virus, not a person).",contagious,ছোঁয়াচে/ সংক্রামক
2,en,bn,noun,In the context of coronavirus (COVID-19): known cases of people who currently have the disease.,active cases,রোগীর সংখ্যা/ অ্যাক্টিভ কেস
3,en,bn,noun,In the context of coronavirus (COVID-19): cases of people infected with the virus which have been confirmed via medical testing.,confirmed cases,সংক্রমণ নিশ্চিত হয়েছে
4,en,bn,proper noun,"Short for ""Centers for Disease Control and Prevention"": a US federal agency under the Department of Health and Human Services, whose main goal is to protect public health and safety through the control and prevention of disease.",CDC,CDC
5,en,bn,noun,"A formal name for the disease caused by the SARS-CoV-2 virus, responsible for the 2019/2020 global pandemic.",COVID-19,COVID-19
6,en,bn,noun,In the context of coronavirus (COVID-19): a place where people can be tested for the virus.,COVID-19 testing center,COVID-19 ভাইরাস পরীক্ষা কেন্দ্র
7,en,bn,noun,"An informal name for the SARS-CoV-2 virus (also known as ""novel coronavirus""), responsible for the 2019/2020 global pandemic of COVID-19 (the disease caused by the virus). Sometimes refers to the entire category of coronaviruses, of which SARS-CoV-2 is just one example.",coronavirus,করোনাভাইরাস
8,en,bn,noun,"In the context of coronavirus (COVID-19): a mask covering the nose, mouth and/or eyes of the wearer, intended to protect the wearer from spreading or contracting pathogens.",face mask,মুখের মাস্ক
9,en,bn,noun,"In the context of coronavirus (COVID-19): can be a person, such as a doctor, but also an organization, such as a hospital or insurance company.",healthcare provider,স্বাস্থ্য পরিষেবা প্রদানকারী
10,en,bn,noun,"In the context of coronavirus (COVID-19): a person who works in healthcare, such as a doctor or therapist.",healthcare professional,স্বাস্থ্য পরিষেবা প্রদানকারী পেশাদার
11,en,bn,noun,"In the context of coronavirus (COVID-19): the practice of cleaning one's hands, e.g. with water and soap, in order to get rid of the virus and other pathogens.",hand-washing,হাত ধোয়া
12,en,bn,noun,In the context of coronavirus (COVID-19): the period of time between infection and the appearance of symptoms of the disease.,incubation period,জীবাণু বৃদ্ধির সময়কাল
13,en,bn,noun,In the context of coronavirus (COVID-19): the practice of separating sick people from healthy people to prevent the spread of disease.,isolation,আইসোলেশন
14,en,bn,noun,In the context of the coronavirus (COVID-19): the practice of restricting the movement of healthy people who may have been exposed to the virus to see if they become ill.,quarantine,কোয়ারেন্টাইন
15,en,bn,verb,In the context of the coronavirus (COVID-19): to restrict the movement of healthy people who may have been exposed to the virus to see if they become ill.,quarantine,কোয়ারেন্টাইন
16,en,bn,proper noun,"Short for ""National Institutes of Health Agency"": the primary US government agency responsible for biomedical and public health research; part of the United States Department of Health and Human Services.",NIH,NIH
17,en,bn,noun,"In the context of coronavirus (COVID-19): being within a close distance (1-2m) of another person, not necessarily having actual physical contact. Close contact is one possible way for the virus to spread from person to person.",close contact,বেশি কাছাকাছি থাকা
18,en,bn,noun,In the context of coronavirus (COVID-19): the process of the virus spreading from person to person.,transmission,সংক্রমণ
19,en,bn,noun,In the context of coronavirus (COVID-19): cases of people infected with the virus which have resulted in the end of the infected person's life.,deaths,মৃত্যু
20,en,bn,noun,In the context of coronavirus (COVID-19): a place where people can be tested for the virus.,testing center,পরীক্ষা কেন্দ্র
21,en,bn,verb,"In the context of the coronavirus (COVID-19): to infect new people, in a particular area or globally.",spread,ছড়াচ্ছে
22,en,bn,verb,A header for a set of five recommendations surfaced to users looking for coronavirus tips. See: https://www.google.com/search?q=coronavirus+tips&fbx=dothefive,Do the Five,এই পাঁচটি পরামর্শ মেনে চলুন
23,en,bn,proper noun,"A specialized agency of the United Nations that is concerned with world public health. Abbreviated as ""WHO"". See: https://en.wikipedia.org/wiki/World_Health_Organization",World Health Organization,বিশ্ব স্বাস্থ্য সংস্থা
24,en,bn,proper noun,"Short for ""World Health Organization"": a specialized agency of the United Nations that is concerned with world public health. See: https://en.wikipedia.org/wiki/World_Health_Organization",WHO,WHO
25,en,bn,,,14 days in isolation,14 দিন আলাদা থাকা
26,en,bn,,,14 days quarantine,14 দিনের পৃথকীকরণ
27,en,bn,,,2019 coronavirus,2019 করোনাভাইরাস
28,en,bn,,,2019 novel coronavirus,2019 নতুন করোনাভাইরাস
29,en,bn,,,2019-nCoV,2019-nCoV
30,en,bn,,,2020 coronavirus,2020 করোনাভাইরাস
31,en,bn,,,2020 novel coronavirus,220 নতুন করোনাভাইরাস
33,en,bn,,,about coronavirus,করোনাভাইরাস সম্পর্কে
39,en,bn,,,acute respiratory distress syndrome,তীব্র শ্বাসপ্রশ্বাসজনিত দুর্দশার লক্ষণ
40,en,bn,,,advanced hand sanitizer,উন্নত হাতের স্যানিটাইজার
41,en,bn,,,Affected by coronavirus,করোনাভাইরাসের দ্বারা আক্রান্ত
42,en,bn,,,after exposure,প্রকাশের পরে
43,en,bn,,,After the epidemic,মহামারীর পরে
44,en,bn,,,After the outbreak,প্রাদুর্ভাবের পরে
47,en,bn,,,airborne virus,বায়ুবাহিত ভাইরাস
48,en,bn,,,alcohol based hand sanitizer,অ্যালকোহল ভিত্তিক হাতের স্যানিটাইজার
