stringID,sourceLang,targetLang,pos,description,sourceString,targetString
25,en,sd,,,14 days in isolation,اڪيلائي ۾ 14 ڏينهن
26,en,sd,,,14 days quarantine,14 ڏينهن جي طبي قيد
27,en,sd,,,2019 coronavirus,2019 ڪورونا وائرس
28,en,sd,,,2019 novel coronavirus,2019 ناول ڪورونا وائرس
29,en,sd,,,2019-nCoV,2019-nCoV
30,en,sd,,,2020 coronavirus,2020 ڪورونا وائرس
31,en,sd,,,2020 novel coronavirus,2020 ناول ڪورونا وائرس
33,en,sd,,,about coronavirus,ڪورونا وائرس بابت
39,en,sd,,,acute respiratory distress syndrome,ساه ۾ گهڻي تڪليف جي علامت
40,en,sd,,,advanced hand sanitizer,جديد هٿ جو سينيٽائيزر
41,en,sd,,,Affected by coronavirus,ڪورونا وائرس پاران متاثر ٿيو
42,en,sd,,,after exposure,پڌرائي کانپوءِ
43,en,sd,,,After the epidemic,وچڙندڙ کانپوءِ
44,en,sd,,,After the outbreak,وبا کانپوءِ
47,en,sd,,,airborne virus,هوا سان ڦهلجندڙ وائرس
48,en,sd,,,alcohol based hand sanitizer,الڪوحل وارو هٿ جو سينيٽائيزر
49,en,sd,,,alcohol hand sanitizer,الڪوحل وارو هٿ جو سينيٽائيزر
51,en,sd,,,alcohol-based hand sanitizer,الڪوحل وارو هٿ جو سينيٽائيزر
59,en,sd,,,Anti-Corona virus spray,ڪورونا وائرس جي خلاف اسپري
60,en,sd,,,antibacterial hand sanitizer,اينٽي بيڪٽيرئيل هٿ جو سينيٽائيزر
61,en,sd,,,ARDS,ARDS
64,en,sd,,,avoid exposure,پڌرائي کان بچو
65,en,sd,,,be infected,روڳ لڳل هجي
75,en,sd,,,Beware of coronavirus,ڪورونا وائرس بابت خبردار رهو
76,en,sd,,,bilateral interstitial pneumonia,بائيليٽرل انٽرسيشل نمونيا
77,en,sd,,,CDC,CDC
78,en,sd,,,Center for Disease Control,بيماري کي روڪڻ جو مرڪز
83,en,sd,,,community spread,ڪميونٽي ۾ ڦهلڻ
84,en,sd,,,compulsory quarantine,ضروروي طبي قيد
85,en,sd,,,contagious,وبائي
135,en,sd,,,coronavirus,‍‍ڪورونا وائرس
136,en,sd,,,coronavirus (COVID-19),ڪورونا وائرس (COVID-19)
137,en,sd,,,coronavirus alert,ڪورونا وائرس جي خبراداري
139,en,sd,,,coronavirus cases,ڪورونا وائرس جا ڪيس
141,en,sd,,,coronavirus concerns,ڪورونا وائرس سان لاڳاپيل
143,en,sd,,,coronavirus crisis,ڪورونا وائرس جي ڪري بحران
149,en,sd,,,coronavirus disease,ڪورونا وائرس بيماري
150,en,sd,,,Coronavirus disease (COVID-19) outbreak,ڪورونا وائرس بيماري (COVID-19) جي وبا
153,en,sd,,,coronavirus early symptoms,ڪورونا وائرس جون شروعاتي علامتون
155,en,sd,,,coronavirus epidemic,ڪورونا وائرس وچڙندڙ آهي
156,en,sd,,,coronavirus exposure,ڪورونا وائرس جي پڌرائي
161,en,sd,,,coronavirus incubation,ڪورونا وائرس جي پهرين علامت
162,en,sd,,,coronavirus incubation period,ڪورونا وائرس جو شروعاتي علامت جو عرصو
163,en,sd,,,coronavirus infection,ڪورونا وائرس انفيڪشن
168,en,sd,,,coronavirus map,نقشي تي ڪورونا وائرس
170,en,sd,,,coronavirus medicine,ڪورونا وائرس جي دوا
171,en,sd,,,coronavirus medicines,ڪورونا وائرس جون دوائون
172,en,sd,,,coronavirus news,ڪورونا وائرس بابت خبرون
173,en,sd,,,coronavirus outbreak,ڪورونا وائرس جي وبا
174,en,sd,,,coronavirus pandemic,ڪورونا وائرس وچڙندڙ
176,en,sd,,,coronavirus pneumonia,ڪورونا وائرس ۾ نمونيا
177,en,sd,,,coronavirus precautions,ڪورونا وائرس ۾ اپاءُ
178,en,sd,,,coronavirus prevention,ڪورونا وائرس ۾ پرهيز
179,en,sd,,,coronavirus protection,ڪورونا وائرس ۾ حفاظت
180,en,sd,,,coronavirus quarantine,ڪورونا وائرس ۾ طبي قيد
182,en,sd,,,coronavirus SOS Alert,ڪورونا وائرس SOS جي خبرداري
183,en,sd,,,coronavirus spread,ڪورونا وائرس جو ڦهلڻ
184,en,sd,,,coronavirus symptoms,ڪورونا وائرس جون علامتون
185,en,sd,,,coronavirus transmission,ڪورونا وائرس جو ڦهلجڻ
186,en,sd,,,coronavirus travel ban,ڪورونا وائرس جي سفري پابندي
187,en,sd,,,coronavirus travel restrictions,ڪورونا وائرس جون سفري پابنديون
188,en,sd,,,coronavirus treatment,ڪورونا وائرس جو علاج
190,en,sd,,,coronavirus update,ڪورونا وائرس بابت تازه ڪاري
191,en,sd,,,coronavirus vaccine,ڪورونا وائرس جي ويڪسين
192,en,sd,,,coronavirus vaccines,ڪورونا وائرس جون ويڪسينون
198,en,sd,,,covid cases,covid جا ڪيس
205,en,sd,,,covid early symptoms,covid جي شروعاتي علامت
213,en,sd,,,covid incubation period,covid جو شروعاتي علامت جو عرصو
215,en,sd,,,covid international spread,covid جو سڄي دنيا ۾ ڦهلڻ
216,en,sd,,,covid international travel,covid جو سڄي دنيا ۾ سفر
